Chromophore_name,Chromophore_smiles,Solvent_name,Solvent_smiles,Abs,FWHM_Abs,log_extinc,Emi,FWHM_Emi,PLQY,lifetime,HOMO,HOMO_Method,LUMO,LUMO_Method,Optical_bandgap,glob_0,glob_1,glob_2,glob_3,1,2,glob_6,3,4,5,6,location combo,subgroup number
coumarins and iminocoumarins 4b,N#Cc1cc2ccc(O)cc2oc1=O,acetonitrile,CC#N,352.0,,4.700755621750213,402.0,,0.00059,,,,,,,,,,,*C#N,,,,,*O,,"[1, 5]",2
coumarins and iminocoumarins 4b,N#Cc1cc2ccc(O)cc2oc1=O,THF,C1CCOC1,355.0,,4.296028636106723,405.0,3278.2749973936297,0.00102,,,,,,,,,,,*C#N,,,,,*O,,"[1, 5]",2
coumarins and iminocoumarins 4b,N#Cc1cc2ccc(O)cc2oc1=O,Ethyl acetate,CCOC(C)=O,356.0,,4.515410172292158,406.0,3352.643589844589,0.0596999999999999,,,,,,,,,,,*C#N,,,,,*O,,"[1, 5]",2
coumarins and iminocoumarins 4b,N#Cc1cc2ccc(O)cc2oc1=O,chloroform,ClC(Cl)Cl,359.0,,4.158573556172255,408.0,4100.0398124270105,0.0509,,,,,,,,,,,*C#N,,,,,*O,,"[1, 5]",2
coumarins and iminocoumarins 4b,N#Cc1cc2ccc(O)cc2oc1=O,Cyclohexane,C1CCCCC1,361.0,,4.483373306089027,411.0,3389.100741330294,0.0105,,,,,,,,,,,*C#N,,,,,*O,,"[1, 5]",2
C183 anion,N#Cc1cc2ccc([O-])cc2oc1=O,water,O,408.0,,,450.0,2128.3151292270886,,3.9619651347068143,,,,,,,,,,*C#N,,,,,*[O-],,"[1, 5]",2
aminocoumarin 1,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,Cyclohexane,C1CCCCC1,350.0,,,395.0,,,2.8,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
aminocoumarin 1,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,Ethyl acetate,CCOC(C)=O,361.0,,,416.0,,,3.1,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
aminocoumarin 1,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,acetonitrile,CC#N,367.0,,,430.0,,,3.4,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
aminocoumarin 1,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,Ethanol,CCO,373.0,,,451.0,,,3.1,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
aminocoumarin 1,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,glycerol,OCC(O)CO,384.0,,,463.0,,,3.8,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
Coumarin 460,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,Ethanol,CCO,435.0,,,,,,2.04,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
Coumarin 1,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,n-octanol,CCCCCCCCO,373.0,,,443.0,,0.68,3.69,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
Coumarin 1,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,n-hexanol,CCCCCCO,373.0,,,444.0,,0.66,3.68,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
Coumarin 1,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,n-butanol,CCCCO,374.0,,,447.0,,0.61,3.55,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
Coumarin 1,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,n-propanol,CCCO,376.0,,,452.0,,0.62,3.48,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
Coumarin 1,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,Ethanol,CCO,376.0,,,454.0,,0.41,3.15,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
Coumarin 1,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,methanol,CO,381.0,,,462.0,,0.26,1.94,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
Coumarin 1,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,water,O,385.0,,,470.0,,0.041,0.36,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
14,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,water,O,383.0,4210.977934973467,4.3979400086720375,472.0,2749.7274441296213,0.06,0.6,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
Coumarin 460,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,Cyclohexane,C1CCCCC1,368.5,3905.370898063302,,426.0,3036.6319485834865,,,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
Coumarin 460,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,acetone,CC(C)=O,364.3,3985.527614177776,,425.0,3022.713345548505,,,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
Coumarin 460,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,"1,4-dioxane",C1COCCO1,358.7,3922.827257753663,,413.0,2904.0676738116745,,,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
Coumarin 460,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,dimethyl sulfoxide,CS(C)=O,373.8,,,443.0,3083.2863531569456,,,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
Coumarin 460,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,methanol,CO,373.0,3952.539499856743,,453.0,2839.580229499119,,,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
Coumarin 460,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,Ethanol,CCO,372.0,3982.471154511863,,449.0,3038.6031225975457,,,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
Coumarin 460,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,n-butanol,CCCCO,374.0,3934.358170562962,,446.0,3060.7629148659144,,,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
Coumarin 460,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,water,O,381.1,4360.67809256287,,475.0,3250.8150769076783,,,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
C1,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,Cyclohexane,C1CCCCC1,367.0,3630.93,,393.0,3365.36,,,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
C1,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,Ethanol,CCO,373.5,3923.9,,449.5,3110.72,,,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
911,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,water,O,382.0,,,,,,,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
8,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,ethanol,CCO,374.0,,,,,,,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
coumarin1,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,ethanol,CCO,373.0,,,448.0,,0.54,,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
coumarin1,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,water,O,380.0,,,468.0,,0.04,,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
C1,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,ethyl acetate,CCOC(C)=O,365.0,,,,,0.99,,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
1,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,acetonitrile,CC#N,371.0,3888.7495603833486,4.3600250891893975,434.0,2885.3132164752133,0.73,,,,,,,,,,,,*C,,,,*N(CC)CC,,"[2, 5]",2
aminocoumarin 2,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,Cyclohexane,C1CCCCC1,376.0,,,433.0,,,4.1,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
aminocoumarin 2,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,Ethyl acetate,CCOC(C)=O,392.0,,,479.0,,,4.6,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
aminocoumarin 2,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,acetonitrile,CC#N,396.0,,,501.0,,,0.6,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
aminocoumarin 2,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,Ethanol,CCO,400.0,,,509.0,,,0.85,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
aminocoumarin 2,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,glycerol,OCC(O)CO,413.0,,,524.0,,,2.7,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
c481,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,ACN,CC#N,,,,450.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
c481,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,EtOH,CCO,,,,480.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
23,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,ethanol,CCO,405.0,,,,,,,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C481,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,water,O,,,,528.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C481,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,hexane,CCCCCC,375.0,,,431.0,,1.0,3.52,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C481,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,2-methyl pentane,CCCC(C)C,375.0,,,430.0,,1.0,3.74,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C481,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,3-methyl pentane,CCC(C)CC,375.0,,,431.0,,1.0,3.7,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C481,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,cyclohexane,C1CCCCC1,377.0,,,433.0,,1.0,3.69,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C481,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,methyl cyclohexane,CC1CCCCC1,378.0,,,435.0,,1.0,3.68,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C481,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,ethyl acetate,CCOC(C)=O,388.0,,,480.0,,0.69,3.9,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C481,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,octanol,CCCCCCCCO,401.0,,,499.0,,0.42,2.74,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C481,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,hexanol,CCCCCCO,402.0,,,501.0,,0.32,2.23,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C481,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,butanol,CCCCO,402.0,,,504.0,,0.23,1.61,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C481,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,2-propanol,CC(C)O,401.0,,,503.0,,0.2,1.37,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C481,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,acetone,CC(C)=O,397.0,,,497.0,,0.17,1.25,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C481,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,ethanol,CCO,405.0,,,508.0,,0.08,0.71,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C481,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,acetonitrile,CC#N,399.0,,,504.0,,0.08,0.66,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C481,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,methanol,CO,403.0,,,512.0,,0.05,0.34,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C481,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,AN,Nc1ccccc1,413.0,,,502.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C481,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,MAN,CNc1ccccc1,410.0,,,464.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C481,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,EAN,CCNc1ccccc1,408.0,,,465.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C481,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,nPAN,CCCNc1ccccc1,407.0,,,467.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C481,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,iPAN,CC(C)Nc1ccccc1,406.0,,,467.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C481,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,DMA,CN(C)c1ccccc1,398.0,,,448.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C481,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,DEA,CCN(CC)c1ccccc1,398.0,,,455.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C481,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,DPA,CCCN(CCC)c1ccccc1,398.0,,,456.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C35,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,1-BuOH,CCCCO,403.0,,,506.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C35,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,2-PrOH,CC(C)O,401.0,,,502.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C35,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,Dioxane,C1COCCO1,392.0,,,475.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C35,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,EtOH,CCO,402.0,,,516.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C35,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,MeOH,CO,401.0,,,510.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C35,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,MeCN,CC#N,399.0,,,502.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C35,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,DMF,CN(C)C=O,403.0,,,505.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C35,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,DMSO,CS(C)=O,407.0,,,513.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C35,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,water,O,409.0,,,531.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C35,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,hexane,CCCCCC,385.0,,,426.0,,0.85,3.7,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C35,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCl4,ClC(Cl)(Cl)Cl,390.0,,,438.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C35,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CHCl3,ClC(Cl)Cl,401.0,,,471.0,,0.62,4.9,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
C35,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,THF,C1CCOC1,396.0,,,477.0,,0.62,4.7,,,,,,,,,,,*C(F)(F)F,,,,*N(CC)CC,,"[2, 5]",2
aminocoumarin 6,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,acetonitrile,CC#N,365.0,,,465.0,,,5.2,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
Coumarin 151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,hexane,CCCCCC,347.0,4361.726480610319,,401.0,3892.1786206238,0.19,0.8542000000000001,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
Coumarin 151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,2-methylpentane,CCCC(C)C,347.0,,,399.0,,0.17,0.4054999999999999,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
Coumarin 151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,3-Methylpentane,CCC(C)CC,347.0,,,400.0,,0.18,0.8424,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
Coumarin 151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,Cyclohexane,C1CCCCC1,348.0,,,401.0,,0.28,1.1980000000000002,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
Coumarin 151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,Toluene,CC1CCCCC1,348.0,,,401.0,,0.29,1.22,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
Coumarin 151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,decalin,C1CCC2CCCCC2C1,349.0,,,404.0,,0.32,1.899,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
Coumarin 151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,"1,4-dioxane",C1COCCO1,364.0,4494.8489837725065,,442.0,3615.822101162365,0.71,4.65,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
Coumarin 151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,Ethyl acetate,CCOC(C)=O,368.0,4499.291819649756,,456.0,3534.5362025961185,0.62,4.67,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
Coumarin 151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,n-octanol,CCCCCCCCO,383.0,,,480.0,,0.63,5.4,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
Coumarin 151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,n-hexanol,CCCCCCO,384.0,,,481.0,,0.54,5.29,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
Coumarin 151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,n-butanol,CCCCO,383.0,,,484.0,,0.48,5.24,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
Coumarin 151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,dimethyl sulfoxide,CS(C)=O,386.0,,,487.0,,0.48,5.0,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
Coumarin 151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,DMF,CN(C)C=O,378.0,,,480.0,,0.49,5.22,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
Coumarin 151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,i-propanol,CC(C)O,384.0,,,481.0,,0.52,5.28,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
Coumarin 151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,acetone,CC(C)=O,371.0,,,466.0,,0.59,4.97,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
Coumarin 151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,Ethanol,CCO,383.0,,,485.0,,0.49,5.38,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
Coumarin 151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,acetonitrile,CC#N,367.0,4595.732447161459,,461.0,3103.4881460489123,0.57,5.13,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
Coumarin 151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,methanol,CO,378.0,,,487.0,,0.37,5.31,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
CRNO,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,methanol,CO,,,,,,0.99,,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
C151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,hexane,CCCCCC,347.0,,,,,,,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
C151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,cyclohexane,C1CCCCC1,348.0,,,,,,,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
C151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,acetonitrile,CC#N,367.0,,,,,,,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
C151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,MeOH,CO,378.0,,,,,,,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
C151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,OcOH,CCCCCCCCO,383.0,,,,,,,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
C151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,DMSO,CS(C)=O,386.0,,,,,,,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
15,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,ethanol,CCO,382.0,,,,,,,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
C151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,water,O,,,,494.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
C151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,AN,Nc1ccccc1,377.0,,,462.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
C151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,MAN,CNc1ccccc1,373.0,,,440.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
C151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,EAN,CCNc1ccccc1,372.0,,,435.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
C151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,nPAN,CCCNc1ccccc1,371.0,,,432.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
C151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,iPAN,CC(C)Nc1ccccc1,370.0,,,440.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
C151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,DMA,CN(C)c1ccccc1,370.0,,,410.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
C151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,DEA,CCN(CC)c1ccccc1,370.0,,,413.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
C151,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,DPA,CCCN(CCC)c1ccccc1,369.0,,,414.0,,,,,,,,,,,,,,*C(F)(F)F,,,,*N,,"[2, 5]",2
